Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2011-03-27,2026-03-26,5478,Very Long 5000-15000,US,WA,Other,98503,Region 9,4049.0,3615.0,0,3,Small 0-49,130608.95
2014-03-01,2034-02-28,7304,Very Long 5000-15000,US,WA,Other,99208,Region 9,13196.0,12060.0,0,37,Small 0-49,257897.1
2013-10-14,2033-10-13,7304,Very Long 5000-15000,US,MA,Other,02458,Region 0,140152.0,106566.0,0,659,Jumbo 250-5000,3535070.3
2012-10-27,2032-10-26,7304,Very Long 5000-15000,US,WA,Other,99354,Region 9,99822.0,94757.0,0,375,Jumbo 250-5000,1985790.27
2015-03-01,2025-02-28,3652,Long 3000-4999,US,OR,Other,97030,Region 9,5897.0,5441.0,0,40,Small 0-49,123205.65
2020-10-01,2030-09-30,3651,Long 3000-4999,US,CO,Other,81505,Region 8,14201.0,12349.0,3,35,Small 0-49,370603.17
2023-04-09,2043-04-08,7304,Very Long 5000-15000,US,WA,Other,98059,Region 9,5710.0,4976.0,0,0,Small 0-49,147215.19
2022-06-01,2030-05-31,2921,Medium 1000-2999,US,OR,Other,97214,Region 9,1893.0,1833.0,0,0,Small 0-49,54390.42
2021-01-18,2031-01-17,3651,Long 3000-4999,US,WA,Other,99201,Region 9,3000.0,2608.0,1,0,Small 0-49,71055.12
2020-09-01,2025-08-31,1825,Medium 1000-2999,US,WA,Other,98580,Region 9,3985.0,3399.0,0,3,Small 0-49,81860.64
2014-12-01,2029-11-30,5478,Very Long 5000-15000,US,WA,Other,98201,Region 9,9279.0,8077.0,11,0,Small 0-49,321915.35
2022-11-30,2032-11-29,3652,Long 3000-4999,US,WA,Other,98201,Region 9,2218.0,1929.0,0,0,Small 0-49,111946.91
2011-09-01,2026-08-31,5478,Very Long 5000-15000,US,WA,Other,98370,Region 9,3125.0,3125.0,0,3,Small 0-49,68271.61
2021-11-11,2041-11-10,7304,Very Long 5000-15000,US,WA,Other,98004,Region 9,6960.0,6562.0,0,0,Small 0-49,95058.33
2014-05-24,2034-05-23,7304,Very Long 5000-15000,US,WA,Other,98902,Region 9,11600.0,11140.0,0,68,Large 50-99,247247.73
2019-11-01,2034-10-31,5478,Very Long 5000-15000,US,WA,Other,98101,Region 9,130876.0,110690.0,74,0,Small 0-49,6548073.16
2012-09-17,2027-09-16,5477,Very Long 5000-15000,US,IL,IL,60606,Region 6,17000.0,16000.0,0,0,Small 0-49,580500.31
2021-08-10,2031-08-09,3651,Long 3000-4999,US,WA,Other,98004,Region 9,6110.0,5656.0,0,0,Small 0-49,218179.38
2012-01-15,2027-01-14,5478,Very Long 5000-15000,US,CA,CA,94070,Region 9,7563.0,7023.0,0,0,Small 0-49,233184.44
2010-11-16,2025-11-15,5478,Very Long 5000-15000,US,WA,Other,98388,Region 9,8300.0,7900.0,0,0,Small 0-49,340673.91
2021-10-01,2031-09-30,3651,Long 3000-4999,US,WA,Other,98363,Region 9,2600.0,2600.0,0,4,Small 0-49,21600.0
2016-04-01,2036-03-31,7304,Very Long 5000-15000,US,WA,Other,99362,Region 9,7500.0,7210.0,0,0,Small 0-49,52521.92
2012-01-07,2027-01-06,5478,Very Long 5000-15000,US,OR,Other,97224,Region 9,34106.0,33986.0,0,126,XLarge 100-249,841930.19
2011-02-01,2026-01-31,5478,Very Long 5000-15000,US,WA,Other,98926,Region 9,2590.0,2590.0,0,4,Small 0-49,63455.0
2024-11-15,2044-11-14,7304,Very Long 5000-15000,US,WA,Other,99336,Region 9,5298.0,5057.0,0,0,Small 0-49,206301.71
2024-03-16,2034-03-15,3651,Long 3000-4999,US,WA,Other,98333,Region 9,11417.0,10370.0,0,41,Small 0-49,423212.18
2023-01-01,2032-12-31,3652,Long 3000-4999,US,WA,Other,98221,Region 9,2877.0,2877.0,0,10,Small 0-49,121813.71
2017-12-01,2027-11-30,3651,Long 3000-4999,US,WA,Other,98362,Region 9,4556.0,4556.0,0,5,Small 0-49,100232.0
2012-10-01,2027-09-30,5477,Very Long 5000-15000,US,WA,Other,98004,Region 9,11337.0,11337.0,0,14,Small 0-49,313491.57
2015-08-01,2030-07-31,5478,Very Long 5000-15000,US,OR,Other,97224,Region 9,13692.0,12460.0,9,4,Small 0-49,527946.07
2002-10-01,2030-01-04,9957,Very Long 5000-15000,US,WA,Other,98020,Region 9,4.0,4.0,0,0,Small 0-49,8280.0
2008-01-01,2030-01-04,8039,Very Long 5000-15000,US,WA,Other,98026,Region 9,15.0,15.0,0,0,Small 0-49,8589.88
2019-11-01,2024-12-31,1887,Medium 1000-2999,US,WA,Other,99224,Region 9,4035.0,4035.0,6,0,Small 0-49,335592.0
2007-11-01,2027-10-31,7304,Very Long 5000-15000,US,WA,Other,98225,Region 9,1751.0,1751.0,0,0,Small 0-49,81526.56
2002-10-02,2027-01-21,8877,Very Long 5000-15000,US,WA,Other,98121,Region 9,5819.0,5819.0,0,0,Small 0-49,1040844.53
